"","cohort","Ri","Rc","varRc","RcSS","cumden"
"2466",18.8108587,1.49994531312417,1.49990090184565,2.24958921500119,4.49929193035859,0.999999643485173
"2467",18.81848988,1.49994510406672,1.4999004801699,2.24958650877317,4.49928795918708,0.999999643454207
"2468",18.82612106,1.49994489421018,1.49990005689931,2.24958379315019,4.49928397383675,0.999999643423006
"2469",18.83375224,1.4999446835515,1.49989963202793,2.24958106809897,4.4992799742565,0.999999643391563
"2470",18.84138342,1.49994447208762,1.49989920554928,2.24957833357409,4.49927596038144,0.99999964335989
"2471",18.8490146,1.49994425981546,1.49989877745727,2.24957558954084,4.49927193215865,0.999999643327983
"2472",18.85664578,1.49994404673193,1.4998983477462,2.24957283597412,4.4992678895459,0.999999643295824
"2473",18.86427696,1.49994383283393,1.49989791640922,2.24957007282013,4.49926383246886,0.999999643263437
"2474",18.87190814,1.49994361811834,1.49989748344059,2.24956730005412,4.49925976088554,0.999999643230801
"2475",18.87953932,1.49994340258205,1.499897048834,2.24956451763719,4.49925567473815,0.999999643197919
"2476",18.8871705,1.49994318622191,1.49989661258311,2.24956172552983,4.49925157396812,0.999999643164791
"2477",18.89480168,1.49994296903478,1.49989617468176,2.2495589236981,4.49924745852307,0.999999643131413
"2478",18.90243286,1.49994275101749,1.49989573512362,2.24955611210403,4.49924332834606,0.999999643097781
"2479",18.91006404,1.49994253216688,1.49989529390231,2.24955329070826,4.49923918337854,0.9999996430639
"2480",18.91769522,1.49994231247976,1.49989485101158,2.24955045947617,4.49923502356723,0.999999643029761
"2481",18.9253264,1.49994209195293,1.49989440644513,2.2495476183718,4.4992308488572,0.99999964299536
"2482",18.93295758,1.49994187058319,1.49989396019618,2.24954476734698,4.49922665917997,0.99999964296071
"2483",18.94058876,1.4999416483673,1.49989351225881,2.24954190637717,4.49922245449323,0.999999642925791
"2484",18.94821994,1.49994142530205,1.49989306262629,2.24953903541655,4.49921823473102,0.999999642890611
"2485",18.95585112,1.49994120138417,1.49989261129215,2.24953615442741,4.4992139998362,0.999999642855168
"2486",18.9634823,1.49994097661042,1.49989215824991,2.24953326337046,4.49920974975003,0.99999964281946
"2487",18.97111348,1.49994075097752,1.49989170349327,2.24953036221402,4.49920548442196,0.999999642783476
"2488",18.97874466,1.4999405244822,1.49989124701536,2.2495274509105,4.49920120378378,0.999999642747229
"2489",18.98637584,1.49994029712114,1.4998907888099,2.24952452942832,4.49919690778512,0.999999642710703
"2490",18.99400702,1.49994006889105,1.49989032887009,2.2495215977229,4.49919259636093,0.999999642673906
"2491",19.0016382,1.49993983978861,1.49988986718958,2.24951865576318,4.49918826946116,0.999999642636823
"2492",19.00926938,1.49993960981047,1.4998894037614,2.24951570349945,4.49918392701518,0.999999642599469
"2493",19.01690056,1.4999393789533,1.49988893857909,2.24951274089919,4.49917956897109,0.99999964256183
"2494",19.02453174,1.49993914721373,1.49988847163581,2.24950976791888,4.4991751952649,0.999999642523911
"2495",19.03216292,1.49993891458839,1.49988800292507,2.24950678452423,4.49917080584278,0.999999642485702
"2496",19.0397941,1.4999386810739,1.49988753244006,2.24950379067411,4.49916640064323,0.999999642447201
"2497",19.04742528,1.49993844666686,1.49988706017388,2.24950078632526,4.49916197960231,0.999999642408412
"2498",19.05505646,1.49993821136385,1.49988658611995,2.24949777144208,4.49915754266465,0.999999642369327
"2499",19.06268764,1.49993797516146,1.499886110271,2.24949474597352,4.4991530897574,0.999999642329959
"2500",19.07031882,1.49993773805625,1.49988563262071,2.24949170989256,4.49914862083458,0.999999642290285
"2501",19.07795,1.49993750004476,1.49988515316202,2.24948866315372,4.49914413582956,0.99999964225031
"2502",19.08558118,1.49993726112354,1.49988467188796,2.24948560571512,4.49913963467958,0.999999642210034
"2503",19.09321236,1.4999370212891,1.49988418879155,2.24948253753251,4.49913511731939,0.999999642169461
"2504",19.10084354,1.49993678053796,1.49988370386601,2.24947945857138,4.49913058369418,0.999999642128578
"2505",19.10847472,1.49993653886661,1.49988321710433,2.2494763687888,4.49912603374002,0.999999642087383
"2506",19.1161059,1.49993629627153,1.49988272849947,2.24947326814228,4.49912146739328,0.999999642045879
"2507",19.12373708,1.49993605274921,1.4998822380444,2.24947015659049,4.49911688459157,0.999999642004061
"2508",19.13136826,1.49993580829608,1.49988174573211,2.24946703409308,4.49911228527347,0.999999641961926
"2509",19.13899944,1.49993556290861,1.49988125155553,2.24946390060884,4.49910766937663,0.99999964191947
"2510",19.14663062,1.4999353165832,1.49988075550738,2.24946075609058,4.49910303683198,0.999999641876698
"2511",19.1542618,1.49993506931629,1.49988025758071,2.24945760050175,4.49909838758211,0.9999996418336
"2512",19.16189298,1.49993482110427,1.4998797577682,2.24945443379628,4.49909372155908,0.999999641790178
"2513",19.16952416,1.49993457194353,1.49987925606288,2.24945125593687,4.49908903870461,0.999999641746424
"2514",19.17715534,1.49993432183045,1.49987875245714,2.24944806687066,4.49908433894304,0.999999641702349
"2515",19.18478652,1.49993407076138,1.49987824694429,2.24944486656971,4.49907962222638,0.999999641657929
"2516",19.1924177,1.49993381873268,1.49987773951662,2.2494416549798,4.49907488847728,0.999999641613178
"2517",19.20004888,1.49993356574067,1.49987723016685,2.24943843205897,4.49907013763197,0.999999641568093
"2518",19.20768006,1.49993331178167,1.49987671888796,2.24943519777076,4.49906536963288,0.999999641522659
"2519",19.21531124,1.49993305685199,1.49987620567249,2.24943195206966,4.49906058441215,0.999999641476877
"2520",19.22294242,1.49993280094792,1.4998756905126,2.24942869490057,4.49905578189121,0.999999641430765
"2521",19.2305736,1.49993254406574,1.49987517340139,2.2494254262338,4.49905096201965,0.999999641384295
"2522",19.23820478,1.4999322862017,1.4998746543313,2.24942214602068,4.49904612472613,0.999999641337473
"2523",19.24583596,1.49993202735206,1.49987413329478,2.24941885421598,4.49904126994276,0.999999641290299
"2524",19.25346714,1.49993176751305,1.49987361028447,2.24941555077911,4.49903639760688,0.999999641242764
"2525",19.26109832,1.49993150668089,1.49987308529262,2.24941223566011,4.4990315076453,0.999999641194874
"2526",19.2687295,1.49993124485178,1.49987255831194,2.24940890882104,4.49902659999825,0.999999641146615
"2527",19.27636068,1.49993098202191,1.49987202933468,2.24940557021244,4.49902167459298,0.999999641097994
"2528",19.28399186,1.49993071818746,1.49987149835321,2.2494022197895,4.4990167313618,0.999999641049005
"2529",19.29162304,1.49993045334459,1.49987096535984,2.2493988575064,4.49901177023586,0.999999640999648
"2530",19.29925422,1.49993018748945,1.49987043034709,2.24939548332169,4.49900679115125,0.999999640949916
"2531",19.3068854,1.49992992061817,1.49986989330722,2.24939209719016,4.49900179403956,0.999999640899802
"2532",19.31451658,1.49992965272685,1.49986935423236,2.24938869906172,4.49899677882713,0.999999640849313
"2533",19.32214776,1.49992938381162,1.49986881311488,2.24938528889414,4.49899174544879,0.99999964079844
"2534",19.32977894,1.49992911386855,1.49986826994684,2.2493818666378,4.49898669383112,0.999999640747185
"2535",19.33741012,1.49992884289371,1.49986772472063,2.24937843225283,4.49898162391148,0.999999640695536
"2536",19.3450413,1.49992857088317,1.49986717742802,2.24937498568154,4.49897653560743,0.999999640643509
"2537",19.35267248,1.49992829783297,1.49986662806166,2.24937152689153,4.49897142886457,0.999999640591077
"2538",19.36030366,1.49992802373912,1.49986607661349,2.24936805583322,4.49896630360916,0.999999640538242
"2539",19.36793484,1.49992774859765,1.49986552307534,2.24936457245281,4.49896115976287,0.999999640485014
"2540",19.37556602,1.49992747240455,1.4998649674393,2.24936107670552,4.4989559972572,0.999999640431385
"2541",19.3831972,1.4999271951558,1.49986440969761,2.24935756855034,4.49895081602789,0.99999964037734
"2542",19.39082838,1.49992691684737,1.49986384984191,2.24935404793092,4.49894561599351,0.999999640322896
"2543",19.39845956,1.49992663747521,1.49986328786448,2.24935051480879,4.49894039709244,0.999999640268029
"2544",19.40609074,1.49992635703525,1.49986272375684,2.24934696912631,4.49893515924159,0.999999640212757
"2545",19.41372192,1.49992607552342,1.49986215751133,2.24934341084747,4.49892990238202,0.999999640157054
"2546",19.4213531,1.49992579293561,1.49986158911926,2.24933983991027,4.49892462642561,0.999999640100942
"2547",19.42898428,1.49992550926771,1.49986101857311,2.24933625628386,4.49891933131904,0.999999640044388
"2548",19.43661546,1.49992522451561,1.49986044586396,2.24933265990175,4.49891401696899,0.999999639987419
"2549",19.44424664,1.49992493867515,1.4998598709841,2.24932905072822,4.49890868331666,0.999999639930011
"2550",19.45187782,1.49992465174217,1.4998592939249,2.2493254287067,4.49890333027959,0.999999639872172
"2551",19.459509,1.49992436371251,1.4998587146784,2.24932179379689,4.49889795779364,0.999999639813885
"2552",19.46714018,1.49992407458197,1.49985813323587,2.24931814593861,4.4988925657724,0.999999639755167
"2553",19.47477136,1.49992378434634,1.49985754958913,2.24931448508936,4.49888715414888,0.999999639696002
"2554",19.48240254,1.4999234930014,1.49985696372992,2.24931081120119,4.49888172285032,0.999999639636383
"2555",19.49003372,1.49992320054291,1.49985637564958,2.24930712422011,4.4988762717968,0.999999639576314
"2556",19.4976649,1.49992290696661,1.49985578534001,2.24930342410583,4.49887080092373,0.999999639515776
"2557",19.50529608,1.49992261226824,1.49985519279212,2.24929971079208,4.49886531013758,0.999999639454793
"2558",19.51292726,1.49992231644351,1.49985459799741,2.24929598423056,4.49885979936453,0.999999639393359
"2559",19.52055844,1.49992201948811,1.49985400094809,2.24929224438915,4.49885426854914,0.999999639331438
"2560",19.52818962,1.49992172139773,1.49985340163491,2.24928849120199,4.49884871759779,0.999999639269053
"2561",19.5358208,1.49992142216802,1.49985280004932,2.24928472462029,4.49884314643609,0.999999639206197
"2562",19.54345198,1.49992112179463,1.49985219618281,2.24928094459603,4.49883755499042,0.999999639142861
"2563",19.55108316,1.49992082027319,1.49985159002638,2.24927715107146,4.49883194317613,0.999999639079052
"2564",19.55871434,1.49992051759931,1.49985098157191,2.24927334400911,4.49882631093134,0.999999639014744
"2565",19.56634552,1.4999202137686,1.49985037081011,2.24926952334525,4.49882065816447,0.999999638949953
"2566",19.5739767,1.49991990877662,1.49984975773229,2.24926568903051,4.49881498480013,0.999999638884672
"2567",19.58160788,1.49991960261895,1.49984914232976,2.24926184101671,4.49880929076403,0.999999638818889
"2568",19.58923906,1.49991929529112,1.49984852459328,2.24925797924069,4.49880357596532,0.999999638752622
"2569",19.59687024,1.49991898678867,1.49984790451465,2.2492541036692,4.49879784034618,0.999999638685833
"2570",19.60450142,1.49991867710711,1.49984728208427,2.24925021423319,4.49879208380877,0.999999638618544
"2571",19.6121326,1.49991836624193,1.49984665729313,2.24924631087693,4.49878630627029,0.99999963855076
"2572",19.61976378,1.49991805418861,1.49984603013305,2.24924239356938,4.49878050767524,0.999999638482438
"2573",19.62739496,1.49991774094261,1.49984540059432,2.24923846224008,4.49877468792403,0.999999638413604
"2574",19.63502614,1.49991742649937,1.49984476866806,2.24923451684035,4.49876884694131,0.999999638344246
"2575",19.64265732,1.49991711085432,1.49984413434511,2.24923055731521,4.49876298464464,0.999999638274362
"2576",19.6502885,1.49991679400286,1.49984349761627,2.24922658360877,4.49875710095057,0.999999638203952
"2577",19.65791968,1.49991647594039,1.49984285847252,2.24922259567207,4.4987511957831,0.999999638133003
"2578",19.66555086,1.49991615666227,1.49984221690455,2.24921859344701,4.49874526905617,0.999999638061518
"2579",19.67318204,1.49991583616387,1.49984157290347,2.24921457688843,4.49873932069798,0.999999637989478
"2580",19.68081322,1.49991551444052,1.49984092645949,2.24921054592936,4.49873335061221,0.999999637916899
"2581",19.6884444,1.49991519148753,1.49984027756351,2.24920650052018,4.49872735872196,0.999999637843769
"2582",19.69607558,1.49991486730021,1.49983962620629,2.24920244060835,4.49872134494697,0.999999637770078
"2583",19.70370676,1.49991454187385,1.49983897237824,2.24919836613359,4.49871530919819,0.999999637695832
"2584",19.71133794,1.4999142152037,1.4998383160701,2.2491942770443,4.49870925139629,0.99999963762102
"2585",19.71896912,1.49991388728502,1.49983765727246,2.24919017328652,4.49870317145907,0.999999637545634
"2586",19.7266003,1.49991355811304,1.49983699597566,2.24918605479916,4.49869706929646,0.999999637469681
"2587",19.73423148,1.49991322768296,1.49983633217035,2.249181921531,4.4986909448292,0.999999637393146
"2588",19.74186266,1.49991289598998,1.49983566584671,2.24917777342029,4.49868479796612,0.999999637316035
"2589",19.74949384,1.49991256302928,1.49983499699544,2.24917361041702,4.49867862862933,0.999999637238333
"2590",19.75712502,1.499912228796,1.49983432560669,2.24916943246012,4.49867243672819,0.99999963716004
"2591",19.7647562,1.49991189328529,1.49983365167095,2.24916523949485,4.49866622217948,0.999999637081155
"2592",19.77238738,1.49991155649226,1.49983297517849,2.24916103146537,4.49865998489812,0.999999637001664
"2593",19.78001856,1.49991121841202,1.49983229611938,2.24915680830975,4.49865372479249,0.999999636921575
"2594",19.78764974,1.49991087903965,1.49983161448411,2.24915256997628,4.49864744178228,0.999999636840871
"2595",19.79528092,1.4999105383702,1.4998309302626,2.24914831640142,4.4986411357738,0.999999636759558
"2596",19.8029121,1.49991019639873,1.49983024344512,2.24914404753008,4.49863480668271,0.999999636677626
"2597",19.81054328,1.49990985312026,1.49982955402192,2.2491397633085,4.4986284544261,0.999999636595064
"2598",19.81817446,1.49990950852979,1.49982886198284,2.24913546367138,4.49862207890811,0.999999636511879
"2599",19.82580564,1.49990916262232,1.49982816731807,2.24913114856448,4.49861568004517,0.99999963642806
"2600",19.83343682,1.4999088153928,1.49982747001744,2.24912681792585,4.49860925774478,0.999999636343603
"2601",19.841068,1.49990846683619,1.4998267700711,2.24912247169984,4.49860281192175,0.999999636258503
"2602",19.84869918,1.49990811694741,1.49982606746881,2.24911810982434,4.49859634248329,0.999999636172756
"2603",19.85633036,1.49990776572138,1.49982536220065,2.24911373224453,4.49858984934484,0.999999636086351
"2604",19.86396154,1.49990741315299,1.49982465425602,2.24910933889045,4.49858333240465,0.9999996359993
"2605",19.87159272,1.4999070592371,1.4998239436253,2.24910492971588,4.49857679158763,0.999999635911575
"2606",19.8792239,1.49990670396858,1.49982323029787,2.24910050465138,4.49857022679252,0.999999635823187
"2607",19.88685508,1.49990634734224,1.49982251426346,2.24909606363695,4.49856363792852,0.999999635734129
"2608",19.89448626,1.4999059893529,1.49982179551195,2.24909160661652,4.49855702490919,0.999999635644388
"2609",19.90211744,1.49990562999536,1.49982107403303,2.24908713352981,4.4985503876434,0.999999635553963
"2610",19.90974862,1.49990526926439,1.49982034981605,2.24908264431104,4.49854372603336,0.999999635462849
"2611",19.9173798,1.49990490715473,1.49981962285064,2.24907813889874,4.49853703998656,0.999999635371048
"2612",19.92501098,1.49990454366112,1.49981889312641,2.24907361723507,4.49853032941402,0.999999635278545
"2613",19.93264216,1.49990417877828,1.49981816063288,2.24906907925814,4.49852359422233,0.999999635185335
"2614",19.94027334,1.49990381250089,1.49981742535946,2.24906452490548,4.49851683431735,0.999999635091414
"2615",19.94790452,1.49990344482363,1.49981668729531,2.24905995410826,4.49851004959773,0.999999634996788
"2616",19.9555357,1.49990307574114,1.49981594643029,2.24905536681698,4.49850323998358,0.99999963490143
"2617",19.96316688,1.49990270524806,1.49981520275345,2.2490507629617,4.49849640537209,0.999999634805346
"2618",19.97079806,1.499902333339,1.49981445625403,2.24904614247856,4.49848954566713,0.999999634708533
"2619",19.97842924,1.49990196000855,1.49981370692137,2.2490415053065,4.49848266077572,0.999999634610982
"2620",19.98606042,1.49990158525127,1.49981295474454,2.24903685137958,4.49847575059913,0.999999634512691
"2621",19.9936916,1.49990120906172,1.49981219971295,2.24903218063906,4.49846881504685,0.999999634413646
"2622",20.00132278,1.49990083143442,1.49981144181533,2.24902749301316,4.49846185401334,0.999999634313856
"2623",20.00895396,1.49990045236388,1.49981068104136,2.24902278845061,4.49845486741635,0.999999634213292
"2624",20.01658514,1.49990007184459,1.49980991737942,2.24901806687271,4.49844785514237,0.999999634111974
"2625",20.02421632,1.499899689871,1.49980915081894,2.24901332822486,4.4984408171051,0.999999634009877
"2626",20.0318475,1.49989930643757,1.49980838134891,2.24900857244104,4.49843375320546,0.999999633907002
"2627",20.03947868,1.49989892153871,1.49980760895796,2.24900379945239,4.49842666334057,0.999999633803345
"2628",20.04710986,1.49989853516883,1.49980683363503,2.2489990091944,4.49841954741274,0.999999633698901
"2629",20.05474104,1.4998981473223,1.49980605536906,2.24899420160306,4.49841240532477,0.99999963359366
"2630",20.06237222,1.49989775799349,1.49980527414888,2.24898937661485,4.49840523697965,0.999999633487613
